timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787225691.0743926,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,70.278,28,345,2619,1.507,0.547,
1787225692.0745704,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,70.267,28,345,2619,1.149,0.614,
1787225693.0745928,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,70.22,28,345,2619,154.753,106.046,
1787225694.0745523,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.289,28,345,2619,0.607,0.504,
1787225695.0745401,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.205,28,345,2619,0.609,0.518,
1787225696.0745602,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.251,28,345,2619,0.606,0.549,
1787225697.0745678,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.261,28,345,2619,0.601,0.538,
1787225698.0745358,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.238,28,345,2619,0.603,0.562,
1787225699.0745883,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.241,28,345,2619,0.597,0.567,
1787225700.0746021,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.225,28,345,2619,0.593,0.505,
1787225701.0745704,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.26,28,345,2619,0.607,0.557,
1787225702.0745602,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.184,28,345,2619,0.602,0.549,
1787225703.0745528,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.235,28,345,2619,0.607,0.535,
1787225704.0745485,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.203,28,345,2619,0.604,0.524,
1787225705.0745478,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.234,28,345,2619,0.61,0.534,
1787225706.0745542,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.234,28,345,2619,0.601,0.54,
1787225707.0745325,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.251,28,345,2619,0.606,0.562,
1787225708.074548,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.247,28,345,2619,0.606,0.532,
1787225709.0745487,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.262,28,345,2619,0.606,0.534,
1787225710.074573,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.224,28,345,2619,0.602,0.549,
1787225711.074543,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.247,28,345,2619,4.298,0.562,
1787225712.074555,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.269,28,345,2619,0.607,0.552,
1787225713.074542,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.262,28,345,2619,0.597,0.548,
1787225714.0745528,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.227,28,345,2619,0.609,0.527,
1787225715.074559,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.22,28,345,2619,0.611,0.533,
1787225716.074546,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.25,28,345,2619,0.607,0.539,
1787225717.0745466,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.268,28,345,2619,0.611,0.539,
1787225718.0745435,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.26,28,345,2619,0.606,0.551,
1787225719.0745802,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.285,28,345,2619,0.604,0.554,
1787225720.0745633,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.28,28,345,2619,0.604,0.542,
1787225721.0745635,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.254,28,345,2619,0.604,0.512,
1787225722.0745487,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.281,28,345,2619,0.614,0.525,
1787225723.074555,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.275,28,345,2619,0.604,0.521,
1787225724.074554,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.31,28,345,2619,0.602,0.538,
1787225725.0745559,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.287,28,345,2619,0.607,0.565,
1787225726.074587,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.314,28,345,2619,0.602,0.565,
1787225727.0745525,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.296,28,345,2619,0.604,0.561,
1787225728.0745313,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.286,28,345,2619,0.604,0.524,
1787225729.0745375,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.303,28,345,2619,0.604,0.526,
1787225730.0745447,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.282,28,345,2619,0.607,0.567,
1787225731.074555,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.24,28,345,2619,0.594,0.566,
1787225732.074548,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.275,28,345,2619,0.603,0.563,
1787225733.0745616,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,1452.812,90.782,29,1980,2619,65.542,2372.717,
1787225734.0747192,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,1808.812,116.715,30,1980,2619,34.495,755.251,
1787225735.0746393,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,2242.812,116.752,30,1980,2619,21.594,270.001,
1787225736.0746043,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,2710.812,116.791,30,1980,2619,47.387,553.405,
1787225737.074589,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,3096.812,116.834,30,1980,2619,14.556,216.056,
1787225738.0745654,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,3536.812,116.923,30,1980,2619,5.159,876.644,
1787225739.0745819,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,3970.812,116.944,30,1980,2619,21.593,216.088,
1787225740.074605,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,5526.812,117.933,30,1980,2619,2.459,62.018,
